run_id,epoch,timestamp,epoch_secs,elapsed_secs,loss,val_acc,lr,best_acc
20260402_162207,1,2026-04-02T16:44:49,1359.99,1362.02,0.1105,0.2649,3.75E-06,0.2649
20260402_162207,2,2026-04-02T17:06:06,1274.6,2638.61,0.0019,0.3056,7.50E-06,0.3056
20260402_162207,3,2026-04-02T17:27:59,1310.77,3951.39,0.0015,0.3506,1.12E-05,0.3506
20260402_162207,4,2026-04-02T17:50:08,1326.6,5280.28,0.0013,0.4152,1.50E-05,0.4152
20260402_162207,5,2026-04-02T18:11:47,1297.19,6579.52,0.001,0.4719,1.50E-05,0.4719
20260402_162207,6,2026-04-02T18:33:52,1323.04,7904.7,0.0009,0.5027,1.50E-05,0.5027
20260402_162207,7,2026-04-02T18:55:30,1296.14,9202.91,0.0008,0.5331,1.49E-05,0.5331
20260402_162207,8,2026-04-02T19:14:17,1124.47,10329.51,0.0008,0.5484,1.49E-05,0.5484
20260402_162207,9,2026-04-02T19:29:16,897.56,11228.98,0.0007,0.5598,1.48E-05,0.5598
20260402_162207,10,2026-04-02T19:44:25,906.12,12137.12,0.0007,0.5637,1.48E-05,0.5637
20260402_162207,11,2026-04-02T19:58:47,860.91,12999.94,0.0006,0.5691,1.47E-05,0.5691
20260402_162207,12,2026-04-02T20:12:25,815.13,13817.13,0.0006,0.57,1.46E-05,0.57
20260402_162207,13,2026-04-02T20:25:50,803.5,14622.6,0.0005,0.5732,1.45E-05,0.5732
20260402_162207,14,2026-04-02T20:39:11,799.04,15423.6,0.0005,0.5738,1.44E-05,0.5738
20260402_162207,15,2026-04-02T20:55:18,964.41,16390.06,0.0005,0.5748,1.42E-05,0.5748
20260402_162207,16,2026-04-02T21:13:03,1065.09,17455.16,0.0005,0.5745,1.41E-05,0.5748
20260402_162207,17,2026-04-02T21:31:12,1087.28,18544.29,0.0004,0.5757,1.39E-05,0.5757
20260402_162207,18,2026-04-02T21:48:33,1041.04,19585.33,0.0004,0.5735,1.38E-05,0.5757
20260402_162207,19,2026-04-02T22:05:06,993.07,20578.4,0.0004,0.5731,1.36E-05,0.5757
20260402_162207,20,2026-04-02T22:21:38,992.45,21570.85,0.0003,0.5738,1.34E-05,0.5757
20260402_162207,21,2026-04-02T22:38:07,988.38,22559.23,0.0003,0.5725,1.32E-05,0.5757
20260402_162207,22,2026-04-02T22:54:39,992.05,23551.28,0.0003,0.5716,1.30E-05,0.5757
20260402_162207,23,2026-04-02T23:11:07,987.88,24539.16,0.0003,0.5711,1.28E-05,0.5757
20260402_162207,24,2026-04-02T23:27:34,987.48,25526.64,0.0003,0.5691,1.26E-05,0.5757
20260402_162207,25,2026-04-02T23:44:04,989.88,26516.52,0.0002,0.5691,1.23E-05,0.5757
20260402_162207,26,2026-04-03T00:00:36,992.17,27508.69,0.0002,0.5677,1.21E-05,0.5757
20260402_162207,27,2026-04-03T00:17:05,988.8,28497.5,0.0002,0.5667,1.19E-05,0.5757
20260402_162207,28,2026-04-03T00:34:21,1036.18,29533.67,0.0002,0.5687,1.16E-05,0.5757
20260402_162207,29,2026-04-03T00:50:47,985.56,30519.23,0.0002,0.5679,1.13E-05,0.5757
20260402_162207,30,2026-04-03T01:07:10,983.01,31502.25,0.0002,0.5656,1.11E-05,0.5757
20260402_162207,31,2026-04-03T01:23:33,983.8,32486.05,0.0001,0.5656,1.08E-05,0.5757
20260402_162207,32,2026-04-03T01:39:56,982.26,33468.31,0.0001,0.5657,1.05E-05,0.5757
20260402_162207,33,2026-04-03T01:56:16,979.9,34448.21,0.0001,0.5658,1.02E-05,0.5757
20260402_162207,34,2026-04-03T02:12:33,977.51,35425.72,0.0001,0.5653,9.94E-06,0.5757
20260402_162207,35,2026-04-03T02:28:50,977.16,36402.88,0.0001,0.5644,9.64E-06,0.5757
20260402_162207,36,2026-04-03T02:45:09,978.71,37381.59,0.0001,0.5656,9.34E-06,0.5757
20260402_162207,37,2026-04-03T03:01:26,976.56,38358.15,0.0001,0.5639,9.04E-06,0.5757
20260402_162207,38,2026-04-03T03:17:43,977.52,39335.67,0.0001,0.5647,8.73E-06,0.5757
20260402_162207,39,2026-04-03T03:34:05,981.6,40317.27,0.0001,0.5657,8.43E-06,0.5757
20260402_162207,40,2026-04-03T03:50:32,987.14,41304.41,0.0001,0.566,8.12E-06,0.5757
